Year,Film,Gross
1977,Star Wars,221280994
1978,Superman,134218018
1979,Kramer vs. Kramer,106260000
1980,The Empire Strikes Back,181379640
1981,Raiders of the Lost Ark,212222025
1982,E.T. the Extra-Terrestrial,359197037
1983,Return of the Jedi,252583617
1984,Beverly Hills Cop,234760478
1985,Back to the Future,210609762
1986,Top Gun,176781728
1987,Three Men and a Baby,167780960
1988,Rain Man,172825435
1989,Batman,251188924
1990,Home Alone,285761243
1991,Terminator 2: Judgment Day,204843345
1992,Aladdin,217350219
1993,Jurassic Park,357067947
1994,Forrest Gump,329694499
1995,Toy Story,191796233
1996,Independence Day,306169268
1997,Titanic,600788188
1998,Saving Private Ryan,216540909
1999,Star Wars: Episode I - The Phantom Menace,431088295
2000,How the Grinch Stole Christmas,260044825
2001,Harry Potter and the Sorcerer's Stone,317575550
2002,Spider-Man,403706375
2003,The Lord of the Rings: The Return of the King,377027325
2004,Shrek 2,441226247
2005,Star Wars: Episode III - Revenge of the Sith,380270577
2006,Pirates of the Caribbean: Dead Man's Chest,423315812
2007,Spider-Man 3,336530303
2008,The Dark Knight,533345358
2009,Avatar,749766139
2010,Toy Story 3,415004880
2011,Harry Potter and the Deathly Hallows: Part 2,381011219
2012,The Avengers,623357910
2013,The Hunger Games: Catching Fire,424668047
2014,American Sniper,350126372
2015,Star Wars: Episode VII - The Force Awakens,936662225
2016,Rouge One: A Star Wars Story,532177324
2017,Star Wars: Episode VIII - The Last Jedi,620181382
2018,Black Panther,700059566
2019,Avengers: Endgame,858373000
2020,Bad Boys for Life,204417855
